Timestamp,Status,Gen,Fitness,PnL,WinRate,PF,Sharpe,MaxDD,Trades,MutRate,TP,SL,Risk,Cooldown,Conf,TimeSec
2026-05-21 20:50:44,UPDATE,153,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,412.31
2026-05-21 20:57:38,UPDATE,154,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.60,0.009675,0.003722,0.013348,4796,0.430,413.86
2026-05-21 21:04:48,UPDATE,155,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,430.54
2026-05-21 21:11:46,UPDATE,156,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,417.49
2026-05-21 21:18:39,UPDATE,157,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,413.24
2026-05-21 21:25:33,UPDATE,158,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,413.99
2026-05-21 21:32:27,UPDATE,159,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,414.11
2026-05-21 21:39:20,UPDATE,160,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,412.95
2026-05-21 21:46:14,UPDATE,161,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,413.37
2026-05-21 21:53:08,UPDATE,162,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,414.05
2026-05-21 22:00:01,UPDATE,163,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.60,0.009675,0.003722,0.013348,4796,0.430,413.37
2026-05-21 22:07:11,UPDATE,164,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,430.49
2026-05-21 22:14:06,UPDATE,165,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,414.31
2026-05-21 22:20:59,UPDATE,166,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,412.95
2026-05-21 22:27:56,UPDATE,167,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,417.01
